
/home/runner/work/exp-spatial-diversity-iiith/exp-spatial-diversity-iiith/experiment/simulation/js/main.js
   18:10  warning  'openPart' is defined but never used          no-unused-vars
   35:20  warning  'd3' is not defined                           no-undef
   36:24  warning  'd3' is not defined                           no-undef
  211:17  warning  Unexpected lexical declaration in case block  no-case-declarations
  212:17  warning  Unexpected lexical declaration in case block  no-case-declarations
  245:17  warning  Unexpected lexical declaration in case block  no-case-declarations
  437:19  warning  'd3' is not defined                           no-undef
  438:19  warning  'd3' is not defined                           no-undef
  440:94  warning  'd3' is not defined                           no-undef
  441:50  warning  'd3' is not defined                           no-undef
  462:26  warning  'd3' is not defined                           no-undef

✖ 11 problems (0 errors, 11 warnings)

